,Depth,Resistivity,Gamma Ray,Total Porosity,Effective Porosity,Bulk Density,Compression Wave Travel Time,Shear Wave Travel Time
1418,7514.0,644.99829,206.78256,0.07929,0.07296,2.54093,85.25918,140.12679
1419,7514.5,653.0509,168.14684,0.0603,0.05515,2.57804,80.15141,135.2532
1420,7515.0,3199.31958,118.94952,0.03625,0.0316,2.64509,72.61333,130.38377
1421,7515.5,7223.24072,88.68291,0.02109,0.01619,2.69126,66.4421,127.23637
1422,7516.0,4541.37012,96.94482,0.01746,0.01023,2.68718,65.26561,127.10566
1423,7516.5,784.07117,131.30113,0.02626,0.01528,2.65251,69.67117,129.6264
1424,7517.0,730.5733,166.22183,0.04655,0.03295,2.60544,77.28077,134.74901
1425,7517.5,683.30939,184.84967,0.07351,0.05942,2.5457,85.41793,142.04515
1426,7518.0,539.64429,190.83258,0.09205,0.07814,2.48288,92.13735,149.88414
1427,7518.5,548.01398,193.33925,0.09285,0.07944,2.45207,96.31797,156.04977
1428,7519.0,560.44452,196.69751,0.08713,0.07536,2.46686,97.79745,158.93228
1429,7519.5,589.43317,196.62163,0.08482,0.07498,2.48439,97.00121,157.69594
1430,7520.0,562.34753,184.79616,0.08396,0.07486,2.49848,94.30929,152.38269
1431,7520.5,454.36053,158.43663,0.07385,0.06399,2.51923,89.8711,144.6395
1432,7521.0,758.36334,127.36222,0.05843,0.04729,2.55978,84.17426,137.56587
1433,7521.5,1071.85193,107.98723,0.05163,0.03943,2.6018,79.14056,133.55005
1434,7522.0,433.86185,110.52289,0.05443,0.0415,2.60483,77.08413,132.88237
1435,7522.5,323.30893,133.32619,0.05978,0.04612,2.59147,78.61452,134.34679
1436,7523.0,312.84497,162.49855,0.06215,0.04799,2.5845,81.73176,136.69235
1437,7523.5,301.04297,184.56189,0.07166,0.05742,2.59165,84.3474,138.7851
1438,7524.0,316.85831,196.71207,0.0909,0.07698,2.56596,85.7205,139.77626
1439,7524.5,280.24066,204.53488,0.11102,0.09696,2.52913,86.1422,140.01357
